facility_id,timestamp,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,solar_generation_kwh,power_factor,temperature,humidity
FAC-001,2026-06-24 10:00:00,501.64,1079.7,263.44,111.32,74.59,0.92,27.5,52.7
FAC-001,2026-06-24 11:00:00,761.66,1720.6,409.94,146.79,90.33,0.96,27.2,50.3
FAC-001,2026-06-24 12:00:00,486.59,1062.6,232.41,103.12,111.64,0.96,26.6,50.2
FAC-001,2026-06-24 13:00:00,475.46,1074.2,263.1,117.72,112.15,0.93,27.6,38.1
FAC-001,2026-06-24 14:00:00,472.95,1071.0,259.28,93.7,100.1,0.96,26.3,59.2
FAC-001,2026-06-24 15:00:00,538.72,1133.3,294.32,119.52,87.55,0.93,25.7,44.7
FAC-001,2026-06-24 16:00:00,514.25,1101.2,244.98,102.68,58.04,0.98,26.5,54.3
FAC-001,2026-06-24 17:00:00,430.88,1118.3,230.96,98.88,31.42,0.93,22.4,56.6
FAC-001,2026-06-24 18:00:00,431.06,1105.8,188.92,86.97,0.0,0.96,21.9,38.0
FAC-001,2026-06-24 19:00:00,433.36,1038.1,217.97,101.39,0.0,0.96,19.0,37.7
FAC-001,2026-06-24 20:00:00,179.84,484.4,84.68,38.77,0.0,0.94,19.8,40.7
FAC-001,2026-06-24 21:00:00,170.08,445.9,76.7,41.68,0.0,0.96,18.7,39.7
FAC-001,2026-06-24 22:00:00,177.11,401.9,94.75,42.99,0.0,0.93,16.6,55.5
FAC-001,2026-06-24 23:00:00,162.12,356.7,80.48,33.92,0.0,0.93,17.5,43.1
FAC-001,2026-06-25 00:00:00,181.72,496.6,86.73,45.07,0.0,0.94,15.4,42.1
FAC-001,2026-06-25 01:00:00,179.09,401.3,88.71,32.88,0.0,0.98,15.1,47.2
FAC-001,2026-06-25 02:00:00,168.74,373.1,87.3,39.37,0.0,0.97,17.2,50.8
FAC-001,2026-06-25 03:00:00,164.46,357.6,88.58,33.3,0.0,0.92,18.3,35.4
FAC-001,2026-06-25 04:00:00,168.3,427.1,86.48,32.35,0.0,0.95,17.9,43.5
FAC-001,2026-06-25 05:00:00,187.96,472.8,102.26,37.23,0.0,0.98,20.5,41.0
FAC-001,2026-06-25 06:00:00,187.19,427.6,102.4,41.99,0.0,0.94,23.2,57.2
FAC-001,2026-06-25 07:00:00,180.0,445.8,79.37,34.44,0.0,0.92,24.0,35.1
FAC-001,2026-06-25 08:00:00,419.24,1070.2,217.98,94.6,28.24,0.94,25.7,51.2
FAC-001,2026-06-25 09:00:00,454.22,1013.3,228.87,84.74,55.92,0.94,25.9,57.3
FAC-001,2026-06-25 10:00:00,489.97,1068.4,242.7,107.98,80.29,0.97,25.8,51.1
FAC-001,2026-06-25 11:00:00,522.98,1072.7,289.74,127.63,94.14,0.98,29.2,59.1
FAC-001,2026-06-25 12:00:00,486.77,1052.4,233.68,116.62,101.26,0.96,28.6,49.3
FAC-001,2026-06-25 13:00:00,520.43,1390.4,290.77,98.78,105.72,0.97,28.4,44.0
FAC-001,2026-06-25 14:00:00,536.32,1291.5,287.1,129.09,105.2,0.96,27.6,52.5
FAC-001,2026-06-25 15:00:00,534.73,1313.5,253.43,110.31,73.54,0.92,26.4,42.2
FAC-001,2026-06-25 16:00:00,451.85,963.1,196.49,107.35,55.83,0.96,24.1,50.6
FAC-001,2026-06-25 17:00:00,434.34,1113.1,216.77,94.62,30.84,0.99,23.0,54.9
FAC-001,2026-06-25 18:00:00,438.72,1159.1,193.12,79.75,0.0,0.97,21.0,38.9
FAC-001,2026-06-25 19:00:00,419.28,939.8,219.24,94.85,0.0,0.99,20.6,50.3
FAC-001,2026-06-25 20:00:00,168.9,346.3,80.44,39.36,0.0,0.93,17.6,56.4
FAC-001,2026-06-25 21:00:00,175.27,417.3,77.6,37.58,0.0,0.93,17.5,50.4
FAC-001,2026-06-25 22:00:00,163.2,392.0,78.12,36.53,0.0,0.98,15.8,36.8
FAC-001,2026-06-25 23:00:00,162.67,399.2,82.34,39.99,0.0,0.95,16.1,48.6
FAC-001,2026-06-26 00:00:00,172.79,376.8,95.89,42.05,0.0,0.92,14.6,37.4
FAC-001,2026-06-26 01:00:00,163.92,337.1,77.28,39.2,0.0,0.98,15.1,52.4
FAC-001,2026-06-26 02:00:00,186.63,418.6,98.09,44.09,0.0,0.93,17.7,59.8
FAC-001,2026-06-26 03:00:00,172.4,467.2,91.53,35.14,0.0,0.98,18.5,53.9
FAC-001,2026-06-26 04:00:00,187.34,425.3,92.86,44.56,0.0,0.98,17.5,57.6
FAC-001,2026-06-26 05:00:00,170.91,419.2,94.6,42.14,0.0,0.96,19.8,43.2
FAC-001,2026-06-26 06:00:00,183.11,385.6,97.58,43.08,0.0,0.95,22.1,46.0
FAC-001,2026-06-26 07:00:00,171.8,426.9,76.49,32.64,0.0,0.93,24.2,36.8
FAC-001,2026-06-26 08:00:00,429.73,992.5,189.33,79.9,33.05,0.95,26.3,59.7
FAC-001,2026-06-26 09:00:00,434.27,1018.6,191.45,101.79,58.23,0.98,26.2,35.3
FAC-001,2026-06-26 10:00:00,434.68,1120.2,193.63,81.82,82.94,0.96,26.8,42.1
FAC-001,2026-06-26 11:00:00,466.95,967.1,259.26,84.45,106.36,0.98,29.3,36.8
FAC-001,2026-06-26 12:00:00,541.12,1281.0,269.48,121.24,109.66,0.96,29.2,36.1
FAC-001,2026-06-26 13:00:00,547.85,1227.0,298.98,116.09,107.98,0.93,27.4,49.6
FAC-001,2026-06-26 14:00:00,549.81,1244.1,306.91,125.84,97.52,0.98,26.2,57.8
FAC-001,2026-06-26 15:00:00,539.55,1463.0,282.91,120.29,79.03,0.98,24.8,44.4
FAC-001,2026-06-26 16:00:00,526.64,1442.1,236.75,116.7,56.08,0.98,24.9,45.4
