visitor_id,name,host_employee_id,allowed_zones,check_in,check_out
V-1,Visitor 1,E-24,"[""FAC-004-Z3""]",2026-07-19 19:22:07,
V-2,Visitor 2,E-37,"[""FAC-001-Z3""]",2026-07-19 19:22:07,
V-3,Visitor 3,E-9,"[""FAC-001-Z2""]",2026-07-19 19:22:07,
V-4,Visitor 4,E-21,"[""FAC-003-Z1""]",2026-07-19 19:22:07,
V-5,Visitor 5,E-40,"[""FAC-005-Z3""]",2026-07-19 19:22:07,
V-6,Visitor 6,E-10,"[""FAC-001-Z1""]",2026-07-19 19:22:07,
V-7,Visitor 7,E-42,"[""FAC-003-Z1""]",2026-07-19 19:22:07,
V-8,Visitor 8,E-24,"[""FAC-002-Z1""]",2026-07-19 19:22:07,
V-9,Visitor 9,E-37,"[""FAC-005-Z2""]",2026-07-19 19:22:07,
V-10,Visitor 10,E-28,"[""FAC-005-Z2""]",2026-07-19 19:22:07,
